title,category,description,url
Coffee Shop Finder,gRPC,Showcases the use of gRPC with a server and two consumer apps., Android and iOS.,https://github.com/tslamic/coffee-finder
Learn Kotlin/Native,Kotlin,A set of tutorials to get your feet wet with Kotlin/Native.,https://tslamic.github.io/learn-kotlin-native/
Kotlin/Native Example,Kotlin,A sample app created during my Mobile Era Meetup talk.,https://github.com/tslamic/kotlin-native-multiplatform-example
Jokster,DI,A gentle introduction to dependency injection & Dagger2.,https://github.com/tslamic/jokster
Golden,Go,Excruciatingly simple golden file handling.,https://github.com/tslamic/golden
Go OAuth2 Firestore,Go,Firestore Storage for OAuth 2.0 Server in Go.,https://github.com/tslamic/go-oauth2-firestore
Versioning,Android,A Gradle plugin that helps with your app versioning.,https://github.com/tslamic/versioning
LUAS API,Android,A Kotlin wrapper for LUAS timetables API (trams in Dublin).,https://github.com/tslamic/luas-api
Premiumer,Android,Remove ads with a single in-app purchase.,https://github.com/tslamic/premiumer
AndroidDeviceNames,Android,Transforms device model names into something users can understand.,https://github.com/tslamic/AndroidDeviceNames
FancyBackground,Android,Animate a set of resource drawables on a View.,https://github.com/tslamic/FancyBackground
Dumpey,Python,Android Debug Bridge utility tool.,https://github.com/tslamic/Dumpey
Google Play,Android,Some apps I've published.,https://play.google.com/store/apps/developer?id=tslamic
Cptool,Python,Sync folders using Python.,https://github.com/tslamic/cptool
